segment,timestamp,t_in_c,t_iw_c,t_ow_c,r_in_iw,r_iw_ow,r_ow_oa,r_in_oa,c_in,c_w,alpha_ghi_outer_wall,alpha_ghi_inner_wall
train,2018-08-01 06:05:00,21.001141531682823,22.897299405816323,22.465180895902957,1.0,0.7998023098417343,0.2948229946458195,2.1185062820398675,15.0,7.9164493302753876,0.49999999981377996,0.49999997835227283
train,2018-08-01 06:10:00,21.004081714225634,22.849029697127307,22.037816277218695,1.0,0.7998018864243907,0.2948228285655953,2.118269976944713,15.0,7.909860855240177,0.4999999951410913,0.4999997274322954
train,2018-08-01 06:15:00,21.006699017050586,22.79042776655461,21.645764835666835,1.0,0.7997997961717322,0.2948220117889171,2.1177348219748535,15.0,7.884090553901899,0.4999999709069065,0.49999883340227846
train,2018-08-01 06:20:00,21.00877615934954,22.72168326438281,21.28043593118673,1.0,0.7997939161845997,0.2948197235156239,2.116855917189592,15.0,7.821198595231347,0.49999989913710813,0.4999967918505403
train,2018-08-01 06:25:00,21.01023343050243,22.642372110296918,20.932722990944868,1.0,0.799781768269504,0.2948150183833971,2.1156610328766847,15.0,7.703513691056137,0.4999997428996282,0.4999931539893134
train,2018-08-01 06:30:00,21.011061485454018,22.551402434681904,20.594777132238196,1.0,0.7997612072487873,0.2948071007792997,2.1142318549538595,15.0,7.51862825644755,0.4999994641021596,0.49998764286619307
train,2018-08-01 06:35:00,21.01127736189731,22.44744350202372,20.261367480802036,1.0,0.7997310033699307,0.2947955534888942,2.112675137199355,15.0,7.262542689867318,0.4999990322484479,0.4999802229110988
train,2018-08-01 06:40:00,21.01094315819337,22.328585389507687,19.930857420229472,1.0,0.7996911369948551,0.29478044668232295,2.1110960568869213,15.0,6.940224433112593,0.49999843156485857,0.49997110328251226
train,2018-08-01 06:45:00,21.01006828341648,22.194113244440317,19.605886246597816,1.0,0.7996432906092487,0.29476250767996603,2.109596771065838,15.0,6.568050954827063,0.499997672493851,0.49996078834934105
train,2018-08-01 06:50:00,21.008625977713823,22.04593360613855,19.294554875061724,1.0,0.7995915995064816,0.294743365451239,2.1082834038189713,15.0,6.178356050431541,0.4999968094189457,0.4999501826608721
train,2018-08-01 06:55:00,21.006617667213092,21.890068082322497,19.010968539118725,1.0,0.7995432288302673,0.29472570223559585,2.107266436798623,15.0,5.8227179988684945,0.4999959588775589,0.4999406585705256
train,2018-08-01 07:00:00,21.00411752090358,21.738998204066448,18.773357743067297,1.0,0.7995079318515201,0.2947130123472113,2.106643129690596,15.0,5.568305282439963,0.49999530363421785,0.4999339402585793
train,2018-08-01 07:05:00,21.00146665296309,21.60940138996231,18.60312495307897,1.0,0.7994939314343662,0.29470806516224896,2.1064359050687074,14.97420359635508,5.469041457133562,0.49999502775057414,0.49993134818479623
