candidate_index,segment,timestamp,t_in_c,t_iw_c,t_ow_c,r_in_iw,r_iw_ow,r_ow_oa,r_in_oa,c_in,c_w,alpha_ghi_outer_wall,alpha_ghi_inner_wall
11,train,2018-08-01 06:05:00,0.04468855500562176,4.599465346309712,4.355720925020021,0.0008937692974710341,0.0005247773621064193,0.08832594119251645,0.4831657480368578,3389.338791173817,632.3428402908152,0.03171626246874947,0.030321259813140905
11,train,2018-08-01 06:10:00,0.0368494280557949,6.856577861132213,9.49345423450478,0.0008935106516777632,0.0005247756141624501,0.08832548209058949,0.48314597690888916,1949.9539085627716,591.7882618452134,0.031716262376189755,0.03032125891047038
11,train,2018-08-01 06:15:00,0.03222846417209261,7.4392153816003574,13.011721066834918,0.0008935100172627154,0.0005247732816687838,0.08832320404162333,0.48312441442823295,1581.837249272359,517.6688410616498,0.031716261835119414,0.030321256461863202
11,train,2018-08-01 06:20:00,0.02868849426612414,6.233161752523567,11.8982759382329,0.0008933523505630726,0.0005247728165783346,0.08831702020755637,0.4830955767451818,1568.0505992463145,406.32451478121425,0.031716260059029486,0.030321251104148277
11,train,2018-08-01 06:25:00,0.02753959565830609,4.007629621149926,7.786938878778331,0.000893013520711857,0.0005247720569810609,0.0883062044425645,0.4830581224650677,1509.118693854469,276.36273109351373,0.031716256227084655,0.030321241903853276
11,train,2018-08-01 06:30:00,0.027515769653699396,2.107481541161123,4.046508098618822,0.0008927025572005201,0.0005247662630319721,0.08829277692018835,0.4830189022316524,1315.7937277491283,168.28791820254082,0.031716250110410175,0.030321229451954257
11,train,2018-08-01 06:35:00,0.02648938224802103,1.0465731172242432,1.961014125215002,0.0008925590209835357,0.0005247556971393399,0.08827923692894886,0.4829850129640602,1090.5778353350604,102.12376983728878,0.03171624181341896,0.03032121492474688
11,train,2018-08-01 06:40:00,0.02424520299626245,0.5500991516520366,1.0006516285757405,0.0008925264135911202,0.0005247442262299247,0.08826581800320273,0.48295652727890725,909.7076744157661,67.14142613184254,0.03171623070175117,0.030321197903358004
11,train,2018-08-01 06:45:00,0.021621314558293112,0.31785059179300834,0.5627418937049073,0.0008925257536841303,0.0005247343368085694,0.08825140459909277,0.4829301083353098,779.1421139271183,48.740827985073935,0.03171621522633835,0.030321176399325828
11,train,2018-08-01 06:50:00,0.019223474203645438,0.20185725038651575,0.3504648014783985,0.0008925177927383485,0.0005247266923108337,0.08823463771393379,0.4829023871996609,684.2019106193516,38.512604054310145,0.031716193105817796,0.03032114748677969
11,train,2018-08-01 06:55:00,0.01731504509540379,0.13936817363972315,0.23946904341304195,0.0008924833774677157,0.000524721210957756,0.08821407870627108,0.4828701744503347,611.1573566190825,32.43346581317241,0.03171616113086235,0.03032110714290528
11,train,2018-08-01 07:00:00,0.01577811738356058,0.10347961959722846,0.17780267115772122,0.0008924112760439038,0.0005247175971192993,0.08818867947192152,0.4828311289063701,552.408208818705,28.65302025128473,0.03171611595331135,0.03032105120590129
11,train,2018-08-01 07:05:00,0.014506092132733336,0.08127710814560077,0.1406505153614646,0.0008922965087826907,0.0005247154200642893,0.08815753251336321,0.48278532328016616,503.7290577348284,26.23452794493651,0.031716053884444165,0.030320975050935277
11,train,2018-08-01 07:10:00,0.013437184397590621,0.06687185568744562,0.1171071003203968,0.000892137887497744,0.0005247142732768647,0.08811992686650412,0.4827327490250875,462.44909160269316,24.66325562310682,0.03171597090020343,0.03032087356680105
11,train,2018-08-01 07:15:00,0.012532714451519565,0.05693354480434408,0.10133881249351573,0.0008919362228310284,0.000524713807960154,0.0880754341781993,0.4826734420996526,426.7374935946988,23.638731845953465,0.03171586274810189,0.030320741287256137
11,train,2018-08-01 07:20:00,0.01183052950278609,0.05017772529727521,0.09035140436122933,0.00089168419246952,0.0005247137475654415,0.08802498391412945,0.4826083943741069,394.64182297988066,22.983062764854008,0.031715727105051376,0.03032057503695396
11,train,2018-08-01 07:25:00,0.011226499824848715,0.04476403894234749,0.08220659176299877,0.0008913867845782297,0.0005247137127763316,0.08796909111622675,0.4825384385362808,365.5471618504606,22.576096787458713,0.031715560587744926,0.030320370352080937
