timestamp,t_in_measured_c,t_in_pred_n_step_12_c
2018-08-02 00:05:00,22.55231906393338,
2018-08-02 00:10:00,22.51750204806692,
2018-08-02 00:15:00,22.48275307628239,
2018-08-02 00:20:00,22.448052966394627,
2018-08-02 00:25:00,22.41334452647457,
2018-08-02 00:30:00,22.37857154216483,
2018-08-02 00:35:00,22.343694419212145,
2018-08-02 00:40:00,22.30868282840083,
2018-08-02 00:45:00,22.273514466189432,
2018-08-02 00:50:00,22.23817448936472,
2018-08-02 00:55:00,22.2026548565268,
2018-08-02 01:00:00,22.16695359865495,
2018-08-02 01:05:00,22.130456346992027,22.809447123451168
2018-08-02 01:10:00,22.09336152856807,22.773522647104446
2018-08-02 01:15:00,22.05594262229676,22.737438884013347
2018-08-02 01:20:00,22.01834534037752,22.701183270627375
2018-08-02 01:25:00,21.98062263124368,22.664708978270802
2018-08-02 01:30:00,21.942791379323545,22.62796977545825
2018-08-02 01:35:00,21.904865256422426,22.590934022545394
2018-08-02 01:40:00,21.86684879391974,22.55357811099665
2018-08-02 01:45:00,21.82875317725665,22.515885368416704
2018-08-02 01:50:00,21.79059003667137,22.477845565428122
2018-08-02 01:55:00,21.75236880430065,22.43945433897275
2018-08-02 02:00:00,21.7140963260458,22.400712551575126
2018-08-02 02:05:00,21.67644584298453,22.361073519446094
2018-08-02 02:10:00,21.63959114336215,22.32138545072381
2018-08-02 02:15:00,21.603473702957206,22.281838944652154
2018-08-02 02:20:00,21.56799018346896,22.24256093129544
2018-08-02 02:25:00,21.533057583880453,22.203595666110882
2018-08-02 02:30:00,21.49861857669692,22.164955395088242
2018-08-02 02:35:00,21.46463213505903,22.12664970578237
2018-08-02 02:40:00,21.43106627037778,22.088680217876355
2018-08-02 02:45:00,21.39789494757356,22.051054688793748
2018-08-02 02:50:00,21.36510554140631,22.01378145315677
2018-08-02 02:55:00,21.33267621552329,21.976867050066446
2018-08-02 03:00:00,21.300594833395056,21.940315866395903
2018-08-02 03:05:00,21.267830957883994,21.904728054246753
2018-08-02 03:10:00,21.234333420887328,21.869395276657933
2018-08-02 03:15:00,21.200316309250542,21.83432410479799
2018-08-02 03:20:00,21.16595877070224,21.799427819531672
2018-08-02 03:25:00,21.131360304855583,21.764637483484734
2018-08-02 03:30:00,21.09657162797776,21.729906731969162
2018-08-02 03:35:00,21.06162394034475,21.695203414315543
2018-08-02 03:40:00,21.02654216696989,21.660503121027038
2018-08-02 03:45:00,20.99134802550036,21.62578644453476
2018-08-02 03:50:00,20.956059630274865,21.591045660904022
2018-08-02 03:55:00,20.920690875130003,21.556264528109168
2018-08-02 04:00:00,20.885251384236263,21.521435204064456
2018-08-02 04:05:00,20.835752083347145,21.48563944810051
2018-08-02 04:10:00,20.77927534153132,21.448206894898576
2018-08-02 04:15:00,20.722906870905067,21.410799057621748
2018-08-02 04:20:00,20.6696767000574,21.373573568484314
2018-08-02 04:25:00,20.62002036142459,21.33661516738644
2018-08-02 04:30:00,20.573460652888016,21.299964413696056
2018-08-02 04:35:00,20.52945833448664,21.263644560560838
2018-08-02 04:40:00,20.487632695053424,21.22767363228071
2018-08-02 04:45:00,20.44773574258288,21.192067170549766
2018-08-02 04:50:00,20.40959058175298,21.156837823265914
2018-08-02 04:55:00,20.37305397618729,21.121994743404358
2018-08-02 05:00:00,20.33800198464054,21.08754351347687
2018-08-02 05:05:00,20.97998984157212,21.040978081615854
2018-08-02 05:10:00,21.32567644974504,21.0418153269711
2018-08-02 05:15:00,21.35381291308125,20.99067307013006
2018-08-02 05:20:00,21.2426846682802,20.94214161096117
2018-08-02 05:25:00,21.11070100177824,20.89666013483314
2018-08-02 05:30:00,20.9985935709288,20.853747517069454
2018-08-02 05:35:00,20.99999403330586,20.812924128912865
2018-08-02 05:40:00,20.99999999347081,20.78093332474
2018-08-02 05:45:00,20.99999999998643,20.745265980481154
2018-08-02 05:50:00,20.99999999999999,20.71256887635243
2018-08-02 05:55:00,21.000000000000004,20.68091061632545
2018-08-02 06:00:00,21.0,20.650261862107154
2018-08-02 06:05:00,21.0,21.224467887025682
2018-08-02 06:10:00,21.000000000000004,21.487142735689062
2018-08-02 06:15:00,21.0,21.512620004238777
2018-08-02 06:20:00,21.0,21.41390951985264
2018-08-02 06:25:00,20.99843207102156,21.296799594500634
2018-08-02 06:30:00,20.99999985769058,21.19761718118634
2018-08-02 06:35:00,21.000208736502245,21.20048608873198
2018-08-02 06:40:00,21.00086651846542,21.195829245044273
2018-08-02 06:45:00,21.0040589145977,21.196268321725995
2018-08-02 06:50:00,21.008770513080627,21.195725504108726
2018-08-02 06:55:00,21.01562477357737,21.195685894364058
2018-08-02 07:00:00,21.0252411024996,21.196201488414577
2018-08-02 07:05:00,21.01533222253612,21.197233431945012
2018-08-02 07:10:00,21.00000439021172,21.19675483780231
2018-08-02 07:15:00,21.00000000404157,21.1967520334444
2018-08-02 07:20:00,21.0000000000022,21.19775532409102
2018-08-02 07:25:00,21.0,21.19647412994818
2018-08-02 07:30:00,21.0,21.198216755858542
2018-08-02 07:35:00,21.0,21.1983517501264
2018-08-02 07:40:00,21.0,21.19896761731984
2018-08-02 07:45:00,21.0,21.201565914030027
2018-08-02 07:50:00,21.0,21.205236973792314
2018-08-02 07:55:00,21.0,21.21064981479458
2018-08-02 08:00:00,20.99919656859188,21.218213440440916
2018-08-02 08:05:00,21.00035740642697,21.207970386472585
2018-08-02 08:10:00,21.004609363033392,21.19416653245418
2018-08-02 08:15:00,21.012002443486445,21.193487969042213
2018-08-02 08:20:00,21.02222464609843,21.191745342500266
2018-08-02 08:25:00,21.0349441078118,21.190626372159812
2018-08-02 08:30:00,21.0498791211824,21.189249316988082
2018-08-02 08:35:00,21.06721170127671,21.18781572512346
2018-08-02 08:40:00,21.086775019161664,21.18635287173989
2018-08-02 08:45:00,21.10842140106276,21.184859999503193
2018-08-02 08:50:00,21.13214402593176,21.183342153635436
2018-08-02 08:55:00,21.15788373094068,21.181807927812933
2018-08-02 09:00:00,21.18559459609656,21.17956554595657
2018-08-02 09:05:00,21.21535173136777,21.17912449362324
2018-08-02 09:10:00,21.24756469766904,21.18227729395617
2018-08-02 09:15:00,21.28258509636772,21.189126774961675
2018-08-02 09:20:00,21.320372383246024,21.199385332250166
2018-08-02 09:25:00,21.36077650478644,21.212748222597494
2018-08-02 09:30:00,21.40369527620322,21.228956108579336
2018-08-02 09:35:00,21.46648999517281,21.24816466614038
2018-08-02 09:40:00,21.54255000307404,21.27143602521487
2018-08-02 09:45:00,21.62378836159936,21.297414870476594
2018-08-02 09:50:00,21.71500707291359,21.326088889019324
2018-08-02 09:55:00,21.812070032524765,21.358008199242743
2018-08-02 10:00:00,21.91103560559772,21.392518004525144
2018-08-02 10:05:00,22.00939406108718,21.42968027029165
2018-08-02 10:10:00,22.10692802331048,21.468862601854127
2018-08-02 10:15:00,22.20407782298992,21.510399314575857
2018-08-02 10:20:00,22.30126609979138,21.55425825861708
2018-08-02 10:25:00,22.39874700412356,21.60030911715818
2018-08-02 10:30:00,22.496648148312783,21.64846409058121
2018-08-02 10:35:00,22.594955397305043,21.714243764952602
2018-08-02 10:40:00,22.693595605897457,21.790650183011763
2018-08-02 10:45:00,22.792536632212748,21.871549436225713
2018-08-02 10:50:00,22.86891803272918,21.96123615578093
2018-08-02 10:55:00,22.93124993276692,22.053883832951072
2018-08-02 11:00:00,22.990167574683426,22.148101802338623
2018-08-02 11:05:00,23.04742064348089,22.241649238382344
2018-08-02 11:10:00,23.105293062922545,22.33411804882333
2018-08-02 11:15:00,23.16487231916567,22.4260977047188
2018-08-02 11:20:00,23.22631467106645,22.51796832125303
2018-08-02 11:25:00,23.289383382809536,22.609959239123718
2018-08-02 11:30:00,23.3537709529808,22.702186513595027
