Date/Time,ELECTRICITY:TOTAL [J](RunPeriod),ELECTRICITY:NET [J](RunPeriod),water heater energy adjustment1:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),water heater energy adjustment1:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),interior lighting:InteriorLights:Electricity [J](RunPeriod),interior lighting:InteriorLights:Electricity [J](Hourly),exterior lighting:ExteriorLights:Electricity [J](RunPeriod),exterior lighting:ExteriorLights:Electricity [J](Hourly),mech vent:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),mech vent:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),whole house fan:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),whole house fan:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),fridge:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),fridge:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),clothes washer:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),clothes washer:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),clothes dryer:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),clothes dryer:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),cooking range:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),cooking range:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),ceiling fan:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),ceiling fan:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),misc tv:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),misc tv:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),misc plug loads:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](RunPeriod),misc plug loads:InteriorEquipment:Electricity:Zone:CONDITIONED SPACE [J](Hourly),ELECTRICITY:TOTAL [J](Monthly)
 08/02  01:00:00,,,,3.0,,125778.74237595669,,51831.951780821975,,0.0,,0.0,,758859.8590726076,,0.0,,0.0,,0.0,,28262.363297301097,,46364.67742160767,,1302249.0277753826
 08/02  02:00:00,,,,0.0,,125778.74237595669,,51831.951780821975,,0.0,,0.0,,696384.12704545,,0.0,,0.0,,0.0,,28262.363297301097,,46364.67742160767,,1302249.0277753826
 08/02  03:00:00,,,,0.0,,125778.74237595669,,49030.22465753428,,0.0,,0.0,,720631.1817110213,,0.0,,0.0,,0.0,,28262.363297301097,,46364.67742160767,,1302249.0277753826
 08/02  04:00:00,,,,0.0,,125778.74237595669,,49030.22465753428,,0.0,,0.0,,650080.9739256566,,0.0,,0.0,,0.0,,28262.363297301097,,46364.67742160767,,1302249.0277753826
 08/02  05:00:00,,,,0.0,,125778.74237595669,,54633.67890410966,,108000.0,,0.0,,626094.7026973092,,0.0,,0.0,,0.0,,28262.363297301097,,46364.67742160767,,1302249.0277753826
 08/02  06:00:00,,,,0.0,,705758.4988873125,,61637.99671232877,,0.0,,0.0,,650267.0411271272,,0.0,,0.0,,607065.1541917307,,41218.74362124197,,178678.96912006353,,1208403.6796883666
 08/02  07:00:00,,,,0.0,,868381.519332994,,57435.40602739732,,0.0,,0.0,,704146.976934645,,0.0,,0.0,,3640570.639830468,,28262.363297301097,,240790.14076033034,,1236789.0010233282
 08/02  08:00:00,,,,0.0,,684795.3751579863,,43426.77041095893,,0.0,,0.0,,729134.5020980102,,0.0,,0.0,,121048.97377436308,,28262.363297301097,,238603.12767440543,,1265174.3223582897
 08/02  09:00:00,,,,0.0,,660656.0205605808,,35021.589041095904,,0.0,,0.0,,795101.5354305875,,0.0,,0.0,,0.0,,28262.363297301097,,273085.0339958212,,1265174.3223582897
 08/02  10:00:00,,,,0.0,,639057.6506576384,,33620.725479452,,0.0,,0.0,,757858.6489665484,,0.0,,0.0,,1517207.8141493476,,28262.363297301097,,302682.61109200475,,1265174.3223582897
 08/02  11:00:00,,,,0.0,,614283.0498866168,,33620.725479452,,0.0,,0.0,,727445.3865497522,,0.0,,0.0,,2851476.953647214,,28262.363297301097,,328051.96288873337,,1265174.3223582897
 08/02  12:00:00,,,,0.0,,600307.634067066,,35021.589041095904,,0.0,,0.0,,768464.4031556969,,0.0,,0.0,,0.0,,28262.363297301097,,355025.12428180705,,1265174.3223582897
 08/02  13:00:00,,,,0.0,,380512.4579959497,,39224.17972602736,,0.0,,0.0,,784852.9677095502,,0.0,,0.0,,0.0,,28262.363297301097,,231094.38274606335,,1281973.7982504098
 08/02  14:00:00,,,,0.0,,499303.492462131,,42025.90684931504,,0.0,,0.0,,791468.547945204,,0.0,,0.0,,0.0,,28262.363297301097,,350067.89462037734,,1292401.059148967
 08/02  15:00:00,,,,0.0,,841065.9338675083,,49030.22465753428,,0.0,,0.0,,794422.8111566943,,0.0,,0.0,,1517207.8141493476,,28262.363297301097,,712966.2660115142,,1342220.194553185
 08/02  16:00:00,,,,0.0,,761660.1621655155,,61637.99671232877,,0.0,,0.0,,826429.6715447624,,0.0,,0.0,,182028.53199152343,,28262.363297301097,,751603.497196187,,1406521.6367609554
